,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,See technology specific display names,float,reference,,,,y,Estimated Total System Refrigerant Charge (lbs),,,y,Estimated Total System Refrigerant Charge (lbs),,,y,Estimated Total System Refrigerant Charge (lbs),,,y,Estimated Total System Refrigerant Charge (Gal),,,,,,,,,,,,,,,,,,,,,,
,,Rack & Cond. Charge  (lbs),float,user,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fixture and Field Piping (lbs),float,reference,,,,y,,,,y,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,,Useful Superheat,int,technology specific,,,,y,,user,,y,,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Non-Useful Superheat,int,technology specific,,,,y,,user,,y,,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
move to project information phase,,5 yr. Extreme DB,float,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
move to project information phase,,50 yr. Exreme DB,float,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,
move to project information phase,,0.4% Monthly Max WB,float,,,,,,,,,y,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
move to project information phase,,Max 0.4% Monthly Design DB,float,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Supply Fluid Temperature (°F),float,user,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,,Return Fluid Temperature (°F),float,user,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,secondary_refrigerant,Secondary Refrigerant,text,user,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,gas_cooler_leaving_temp,Gas Cooler Leaving Refrig Temp (F),float,user,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,flash_tank_sat_temp,Flash Tank Sat. Temp (F),float,user,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,heat_reclaim_media,Heat Reclaim Media,text,user,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,heat_reclaim_use,Heat Reclaim Use,Combo,user,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,est_summer_thr,Est. Summer THR (MBH),float,user,,,,y,,,,y,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,est_winter_thr,Est. Winter THR (MBH),float,user,,,,y,,,,y,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,primary_refrig_liquid_temp,Primary Refrig. Liquid Temp (F),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
,primary_refrig_sst,Primary Refrig. SST (F),float,reference,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,
